Official name of position,internal disk name,internal naming per Disk,Module,flex cable,HubID,PC position phi,PC position Mirror,PC port,PC identifier,PC name,DCDC,DCDC J11/J12,DCDC channel,DCDC name,Filterboard DCS,Filterboard module power,POH board,POH Bundle,POH SN,DOH bundle,DOH QR,DOH A/B,CCU,channel,PP0 Adapter/FED,PP0 Ad.Slot/FED,PP0 Adapter/FEC,PP0 Ad.Slot/FEC,internal POH no,POH fiber color,FED channel,FED position,FED receiver,FED ID,FEC/FED crate,FEC ID,FEC position,mfec,mfecchannel,HV group,nominal HV
FPix_BmO_D1_BLD1_PNL2_RNG1,,11T,M-H-1-06,4086,13,1Td,1TA,2,PR156,,PB-31,J12,4,,,CI-A 033,FP24,1,SN122498/0055,9,30201210004662,B,0x7d,0x10,-z up right 3,1,-z up right 2,2,14,orange-2,3/4,1,t,1301,bottom,,9,1,2,1d1,
FPix_BmO_D1_BLD11_PNL1_RNG1,,1B,M-Q-A-40,4099W,12,1Ba,1BD,6,PR020,,PB-16,J11,2,,,CI-A 036,FP25,22,SN133278/0001,15,30201210004615,A,0x7b,0x10,-z down right 3,1,-z down right 2,2,1,green-3,29/30,7,b,1307,bottom,,10,1,1,1a1,
FPix_BmO_D1_BLD10_PNL1_RNG1,,2B,M-Q-A-43,4098W,11,1Ba,1BD,4,PR020,,PB-16,J11,2,,,CI-A 036,FP25,21,SN133278/0002,15,30201210004615,A,0x7b,0x10,-z down right 3,2,-z down right 2,2,2,green-3,5/6,7,t,1307,bottom,,10,1,1,1a1,
FPix_BmO_D1_BLD9_PNL1_RNG1,,3B,M-K-2-38,4098B,10,1Ba,1BD,2,PR020,,PB-16,J11,2,,,CI-A 036,FP25,20,SN133278/0003,15,30201210004615,A,0x7b,0x10,-z down right 3,3,-z down right 2,2,3,green-3,29/30,6,b,1306,bottom,,10,1,1,1a1,
FPix_BmO_D1_BLD8_PNL1_RNG1,,4B,M-Q-3-44,4097W,13,1Bb,1BC,6,PR049,,PB-4,J11,2,,,CI-A 027,PP6,18,SN133278/0005,15,30201210004615,B,0x7c,0x10,-z down right 4,1,-z down right 2,2,5,blue-1,25/26,5,b,1305,bottom,,10,1,2,1b1,
FPix_BmO_D1_BLD7_PNL1_RNG1,,5B,M-Q-1-33,4096W,12,1Bb,1BC,2,PR049,,PB-4,J11,2,,,CI-A 027,PP6,16,SN133278/0007,15,30201210004615,B,0x7c,0x10,-z down right 4,3,-z down right 2,2,7,blue-1,25/26,4,b,1304,bottom,,10,1,2,1b1,
FPix_BmO_D1_BLD6_PNL1_RNG1,,6B,M-Y-J-NK,4095W,12,1Bc,1BB,6,PR007,,PB-21,J11,2,,,CI-A 035,FP27,11,SN133278/0008,9,30201210004662,A,0x7e,0x10,-z up right 4,3,-z up right 2,2,8,green-3,5/6,4,t,1304,bottom,,9,1,1,1c1,
FPix_BmO_D1_BLD5_PNL1_RNG1,,7B,M-Q-1-24,4087,11,1Bc,1BB,4,PR007,,PB-21,J11,2,,,CI-A 035,FP27,10,SN133278/0009,9,30201210004662,A,0x7e,0x10,-z up right 4,2,-z up right 2,2,9,green-3,29/30,3,b,1303,bottom,,9,1,1,1c1,
FPix_BmO_D1_BLD4_PNL1_RNG1,,8B,M-F-1-22,4095B,10,1Bc,1BB,2,PR007,,PB-21,J11,2,,,CI-A 035,FP27,5,SN133278/0010,9,30201210004662,A,0x7e,0x10,-z up right 4,1,-z up right 2,2,10,green-3,5/6,3,t,1303,bottom,,9,1,1,1c1,
FPix_BmO_D1_BLD3_PNL1_RNG1,,9B,M-K-3-39,6148,12,1Bd,1BA,6,PR056,,PB-31,J11,2,,,CI-A 033,PP8,3,SN122498/0033,9,30201210004662,B,0x7d,0x10,-z up right 3,3,-z up right 2,2,12,blue-1,1/2,2,t,1302,bottom,,9,1,2,1d1,
