Official name of position,internal disk name,internal naming per Disk,Module,flex cable,HubID,PC position phi,PC position Mirror,PC port,PC identifier,PC name,DCDC,DCDC J11/J12,DCDC channel,DCDC name,Filterboard DCS,Filterboard module power,POH board,POH Bundle,POH SN,DOH bundle,DOH QR,DOH A/B,CCU,channel,PP0 Adapter/FED,PP0 Ad.Slot/FED,PP0 Adapter/FEC,PP0 Ad.Slot/FEC,internal POH no,POH fiber color,FED channel,FED position,FED receiver,FED ID,FEC/FED crate,FEC ID,FEC position,mfec,mfecchannel,HV group
FPix_BpI_D2_BLD3_PNL2_RNG2,,15T,M-P-5-37,6170,8,2Td,2TA,5,PR157,,PB-32,J12,3,,,CI-A 052,FP18,3,SN112498/0031,8,30201210004614,B,0x7d,0x11,+z up right 3,3,+z up right 2,3,12,black-8,15/16,2,t,1281,top,,9,2,2,2d4
FPix_BpI_D2_BLD2_PNL2_RNG2,,16T,M-P-6-34,6152,7,2Td,2TA,3,PR157,,PB-32,J12,3,,,CI-A 052,FP18,2,SN112498/0030,8,30201210004614,B,0x7d,0x11,+z up right 3,2,+z up right 2,3,13,black-8,39/40,1,b,1280,top,,9,2,2,2d4
FPix_BpI_D2_BLD1_PNL2_RNG2,,17T,M-H-2-41,6166,6,2Td,2TA,1,PR157,,PB-32,J12,3,,,CI-A 052,FP18,1,SN112498/0036,8,30201210004614,B,0x7d,0x11,+z up right 3,1,+z up right 2,3,14,black-8,15/16,1,t,1280,top,,9,2,2,2d4
FPix_BpI_D2_BLD17_PNL1_RNG2,,1B,M-P-4-48,6051,5,2Ba,2BD,7,PR004,,PB-17,J11,1,,,CI-A 046,P104,22,SN112498/0029,14,30201210004608,A,0x7b,0x11,+z down right 3,1,+z down right 2,3,1,gray-5,33/34,7,b,1286,top,,10,2,1,2a2
FPix_BpI_D2_BLD16_PNL1_RNG2,,2B,M-P-5-30,6056,4,2Ba,2BD,5,PR004,,PB-17,J11,1,,,CI-A 046,P104,21,SN112498/0026,14,30201210004608,A,0x7b,0x11,+z down right 3,2,+z down right 2,3,2,gray-5,9/10,7,t,1286,top,,10,2,1,2a2
FPix_BpI_D2_BLD15_PNL1_RNG2,,3B,M-P-3-40,6061,3,2Ba,2BD,3,PR004,,PB-17,J11,1,,,CI-A 046,P104,20,SN112498/0002,14,30201210004608,A,0x7b,0x11,+z down right 3,3,+z down right 2,3,3,gray-5,33/34,6,b,1285,top,,10,2,1,2a2
FPix_BpI_D2_BLD14_PNL1_RNG2,,4B,M-G-1-13,6055,2,2Ba,2BD,1,PR004,,PB-17,J11,1,,,CI-A 046,P104,19,SN112498/0003,14,30201210004608,A,0x7b,0x11,+z down right 3,4,+z down right 2,3,4,gray-5,9/10,6,t,1285,top,,10,2,1,2a2
FPix_BpI_D2_BLD13_PNL1_RNG2,,5B,M-P-5-32,6054,6,2Bb,2BC,7,PR053,,PB-15,J11,1,,,CI-A 058,P90,19,SN112498/0003,14,30201210004608,B,0x7c,0x11,+z down right 3,4,+z down right 2,3,4,red-7,13/14,6,t,1285,top,,10,2,2,2b2
FPix_BpI_D2_BLD12_PNL1_RNG2,,6B,M-P-5-05,6066,5,2Bb,2BC,5,PR053,,PB-15,J11,1,,,CI-A 058,P90,18,SN112498/0037,14,30201210004608,B,0x7c,0x11,+z down right 4,1,+z down right 2,3,5,red-7,37/38,5,b,1284,top,,10,2,2,2b2
FPix_BpI_D2_BLD11_PNL1_RNG2,,7B,M-P-6-43,6067,4,2Bb,2BC,4,PR053,,PB-15,J11,2,,,CI-A 058,P90,17,SN112498/0005,14,30201210004608,B,0x7c,0x11,+z down right 4,2,+z down right 2,3,6,gray-5,9/10,5,t,1284,top,,10,2,2,2b2
FPix_BpI_D2_BLD10_PNL1_RNG2,,8B,M-B-5-25,6059,3,2Bb,2BC,3,PR053,,PB-15,J11,1,,,CI-A 058,P90,17,SN112498/0005,14,30201210004608,B,0x7c,0x11,+z down right 4,2,+z down right 2,3,6,red-7,13/14,5,t,1284,top,,10,2,2,2b2
FPix_BpI_D2_BLD9_PNL1_RNG2,,9B,M-P-4-49,6074,2,2Bb,2BC,1,PR053,,PB-15,J11,1,,,CI-A 058,P90,16,SN112498/0006,14,30201210004608,B,0x7c,0x11,+z down right 4,3,+z down right 2,3,7,red-7,37/38,4,b,1283,top,,10,2,2,2b2
FPix_BpI_D2_BLD8_PNL1_RNG2,,10B,M-P-3-13,6068,5,2Bc,2BB,7,PR002,,PB-46,J11,1,,,CI-A 060,P103,11,SN112498/0010,8,30201210004614,A,0x7e,0x11,+z up right 4,3,+z up right 2,3,8,gray-5,9/10,4,t,1283,top,,9,2,1,2c2
FPix_BpI_D2_BLD7_PNL1_RNG2,,11B,M-Y-H-NX,6075,4,2Bc,2BB,5,PR002,,PB-46,J11,1,,,CI-A 060,P103,10,SN112498/0009,8,30201210004614,A,0x7e,0x11,+z up right 4,2,+z up right 2,3,9,gray-5,33/34,3,b,1282,top,,9,2,1,2c2
FPix_BpI_D2_BLD6_PNL1_RNG2,,12B,M-G-3-26,6071,3,2Bc,2BB,3,PR002,,PB-46,J11,1,,,CI-A 060,P103,5,SN112498/0008,8,30201210004614,A,0x7e,0x11,+z up right 4,1,+z up right 2,3,10,gray-5,9/10,3,t,1282,top,,9,2,1,2c2
FPix_BpI_D2_BLD5_PNL1_RNG2,,13B,M-P-1-45,6072,2,2Bc,2BB,1,PR002,,PB-46,J11,1,,,CI-A 060,P103,4,SN112498/0040,8,30201210004614,A,0x7e,0x11,+z up right 3,4,+z up right 2,3,11,gray-5,33/34,2,b,1281,top,,9,2,1,2c2
FPix_BpI_D2_BLD4_PNL1_RNG2,,14B,M-H-1-38,6073,5,2Bd,2BA,7,PR057,,PB-32,J11,1,,,CI-A 052,P100,4,SN112498/0040,8,30201210004614,B,0x7d,0x11,+z up right 3,4,+z up right 2,3,11,red-7,37/38,2,b,1281,top,,9,2,2,2d2
FPix_BpI_D2_BLD3_PNL1_RNG2,,15B,M-O-3-17,6209,4,2Bd,2BA,5,PR057,,PB-32,J11,1,,,CI-A 052,P100,3,SN112498/0031,8,30201210004614,B,0x7d,0x11,+z up right 3,3,+z up right 2,3,12,red-7,13/14,2,t,1281,top,,9,2,2,2d2
FPix_BpI_D2_BLD2_PNL1_RNG2,,16B,M-J-3-34,6201,3,2Bd,2BA,3,PR057,,PB-32,J11,1,,,CI-A 052,P100,2,SN112498/0030,8,30201210004614,B,0x7d,0x11,+z up right 3,2,+z up right 2,3,13,red-7,37/38,1,b,1280,top,,9,2,2,2d2
FPix_BpI_D2_BLD1_PNL1_RNG2,,17B,M-P-2-35,6203,2,2Bd,2BA,1,PR057,,PB-32,J11,1,,,CI-A 052,P100,1,SN112498/0036,8,30201210004614,B,0x7d,0x11,+z up right 3,1,+z up right 2,3,14,red-7,13/14,1,t,1280,top,,9,2,2,2d2
FPix_BpI_D3_BLD11_PNL2_RNG1,HC3-Disk3-Inner,1T,M-P-2-07,4289,15,3Ta,3TD,6,PR109,,PB-44,J12,4,,,CI-A 047,P56,22,SN112498/0029,13,30201210004643,A,0x7b,0x12,+z down right 3,1,+z down right 2,4,1,turquoise-12,47/48,7,b,1286,top,,9,4,1,3a3
FPix_BpI_D3_BLD10_PNL2_RNG1,,2T,M-Q-A-09,4252,14,3Ta,3TD,4,PR109,,PB-44,J12,4,,,CI-A 047,P56,21,SN112498/0026,13,30201210004643,A,0x7b,0x12,+z down right 3,2,+z down right 2,4,2,turquoise-12,23/24,7,t,1286,top,,9,4,1,3a3
FPix_BpI_D3_BLD9_PNL2_RNG1,,3T,M-Q-4-40,4191,13,3Ta,3TD,2,PR109,,PB-44,J12,4,,,CI-A 047,P56,20,SN112498/0002,13,30201210004643,A,0x7b,0x12,+z down right 3,3,+z down right 2,4,3,turquoise-12,47/48,6,b,1285,top,,9,4,1,3a3
FPix_BpI_D3_BLD8_PNL2_RNG1,,4T,M-Q-3-47,4198,15,3Tb,3TC,6,PR112,,PB-8,J12,4,,,CI-A 019,P55,18,SN112498/0037,13,30201210004643,B,0x7c,0x12,+z down right 4,1,+z down right 2,4,5,violet-10,43/44,5,b,1284,top,,9,4,2,3b3
FPix_BpI_D3_BLD7_PNL2_RNG1,,5T,M-N-2-24,4242,14,3Tb,3TC,2,PR112,,PB-8,J12,4,,,CI-A 019,P55,16,SN112498/0006,13,30201210004643,B,0x7c,0x12,+z down right 4,3,+z down right 2,4,7,violet-10,43/44,4,b,1283,top,,9,4,2,3b3
FPix_BpI_D3_BLD6_PNL2_RNG1,,6T,M-Q-6-21,4278,15,3Tc,3TB,6,PR151,,PB-53,J12,4,,,CI-A 041,P70,11,SN112498/0010,7,30201210004690,A,0x7e,0x12,+z up right 4,3,+z up right 2,4,8,turquoise-12,23/24,4,t,1283,top,,9,3,1,3c3
FPix_BpI_D3_BLD5_PNL2_RNG1,,7T,M-Q-6-10,4225,14,3Tc,3TB,4,PR151,,PB-53,J12,4,,,CI-A 041,P70,10,SN112498/0009,7,30201210004690,A,0x7e,0x12,+z up right 4,2,+z up right 2,4,9,turquoise-12,47/48,3,b,1282,top,,9,3,1,3c3
FPix_BpI_D3_BLD4_PNL2_RNG1,,8T,M-Y-M-NQ,4229,13,3Tc,3TB,2,PR151,,PB-53,J12,4,,,CI-A 041,P70,5,SN112498/0008,7,30201210004690,A,0x7e,0x12,+z up right 4,1,+z up right 2,4,10,turquoise-12,23/24,3,t,1282,top,,9,3,1,3c3
FPix_BpI_D3_BLD3_PNL2_RNG1,,9T,M-Q-3-39,4228,15,3Td,3TA,6,PR147,,PB-43,J12,4,,,CI-A 030,P57,3,SN112498/0031,7,30201210004690,B,0x7d,0x12,+z up right 3,3,+z up right 2,4,12,violet-10,19/20,2,t,1281,top,,9,3,2,3d3
FPix_BpI_D3_BLD2_PNL2_RNG1,,10T,M-I-3-10,4194,14,3Td,3TA,4,PR147,,PB-43,J12,4,,,CI-A 030,P57,2,SN112498/0030,7,30201210004690,B,0x7d,0x12,+z up right 3,2,+z up right 2,4,13,violet-10,43/44,1,b,1280,top,,9,3,2,3d3
FPix_BpI_D3_BLD1_PNL2_RNG1,,11T,M-Q-6-09,4237,13,3Td,3TA,2,PR147,,PB-43,J12,4,,,CI-A 030,P57,1,SN112498/0036,7,30201210004690,B,0x7d,0x12,+z up right 3,1,+z up right 2,4,14,violet-10,19/20,1,t,1280,top,,9,3,2,3d3
FPix_BpI_D3_BLD11_PNL1_RNG1,,1B,M-Q-3-22,4230,12,3Ba,3BD,6,PR009,,PB-44,J11,2,,,CI-A 047,FP28,22,SN112498/0029,13,30201210004643,A,0x7b,0x12,+z down right 3,1,+z down right 2,4,1,pink-11,45/46,7,b,1286,top,,9,4,1,3a1
FPix_BpI_D3_BLD10_PNL1_RNG1,,2B,M-I-2-43,4292,11,3Ba,3BD,4,PR009,,PB-44,J11,2,,,CI-A 047,FP28,21,SN112498/0026,13,30201210004643,A,0x7b,0x12,+z down right 3,2,+z down right 2,4,2,pink-11,21/22,7,t,1286,top,,9,4,1,3a1
FPix_BpI_D3_BLD9_PNL1_RNG1,,3B,M-N-3-48,4193,10,3Ba,3BD,2,PR009,,PB-44,J11,2,,,CI-A 047,FP28,20,SN112498/0002,13,30201210004643,A,0x7b,0x12,+z down right 3,3,+z down right 2,4,3,pink-11,45/46,6,b,1285,top,,9,4,1,3a1
FPix_BpI_D3_BLD8_PNL1_RNG1,,4B,M-Q-6-29,4231,13,3Bb,3BC,6,PR012,,PB-8,J11,2,,,CI-A 019,P86,18,SN112498/0037,13,30201210004643,B,0x7c,0x12,+z down right 4,1,+z down right 2,4,5,yellow-9,41/42,5,b,1284,top,,9,4,2,3b1
FPix_BpI_D3_BLD7_PNL1_RNG1,,5B,M-Q-4-46,4232,12,3Bb,3BC,2,PR012,,PB-8,J11,2,,,CI-A 019,P86,16,SN112498/0006,13,30201210004643,B,0x7c,0x12,+z down right 4,3,+z down right 2,4,7,yellow-9,41/42,4,b,1283,top,,9,4,2,3b1
FPix_BpI_D3_BLD6_PNL1_RNG1,,6B,M-Y-H-NB,4238,12,3Bc,3BB,6,PR051,,PB-53,J11,2,,,CI-A 041,FP30,11,SN112498/0010,7,30201210004690,A,0x7e,0x12,+z up right 4,3,+z up right 2,4,8,pink-11,21/22,4,t,1283,top,,9,3,1,3c1
FPix_BpI_D3_BLD5_PNL1_RNG1,,7B,M-Q-A-07,4199,11,3Bc,3BB,4,PR051,,PB-53,J11,2,,,CI-A 041,FP30,10,SN112498/0009,7,30201210004690,A,0x7e,0x12,+z up right 4,2,+z up right 2,4,9,pink-11,45/46,3,b,1282,top,,9,3,1,3c1
FPix_BpI_D3_BLD4_PNL1_RNG1,,8B,M-Q-6-28,4261,10,3Bc,3BB,2,PR051,,PB-53,J11,2,,,CI-A 041,FP30,5,SN112498/0008,7,30201210004690,A,0x7e,0x12,+z up right 4,1,+z up right 2,4,10,pink-11,21/22,3,t,1282,top,,9,3,1,3c1
FPix_BpI_D3_BLD3_PNL1_RNG1,,9B,M-L-3-21,4253,12,3Bd,3BA,6,PR047,,PB-43,J11,2,,,CI-A 030,P74,3,SN112498/0031,7,30201210004690,B,0x7d,0x12,+z up right 3,3,+z up right 2,4,12,yellow-9,17/18,2,t,1281,top,,9,3,2,3d1
FPix_BpI_D3_BLD2_PNL1_RNG1,,10B,M-Q-9-09,4254,11,3Bd,3BA,4,PR047,,PB-43,J11,2,,,CI-A 030,P74,2,SN112498/0030,7,30201210004690,B,0x7d,0x12,+z up right 3,2,+z up right 2,4,13,yellow-9,41/42,1,b,1280,top,,9,3,2,3d1
FPix_BpI_D3_BLD1_PNL1_RNG1,,11B,M-G-2-36,4250,10,3Bd,3BA,2,PR047,,PB-43,J11,2,,,CI-A 030,P74,1,SN112498/0036,7,30201210004690,B,0x7d,0x12,+z up right 3,1,+z up right 2,4,14,yellow-9,17/18,1,t,1280,top,,9,3,2,3d1
