#name                              A/B   FEC       mfec      mfecch    hubid     port      rocid     FEDid     FEDch     roc# 
FPix_BpO_D1_BLD6_PNL2_RNG1_ROC4         A        10      1     1     15      1      4      1291       31     4
FPix_BpO_D1_BLD6_PNL2_RNG1_ROC5         A        10      1     1     15      1      5      1291       31     5
FPix_BpO_D1_BLD6_PNL2_RNG1_ROC6         A        10      1     1     15      1      6      1291       31     6
FPix_BpO_D1_BLD6_PNL2_RNG1_ROC7         A        10      1     1     15      1      7      1291       31     7
FPix_BpO_D1_BLD6_PNL2_RNG1_ROC8         B        10      1     1     15      2      8      1291       32     0
FPix_BpO_D1_BLD6_PNL2_RNG1_ROC9         B        10      1     1     15      2      9      1291       32     1
FPix_BpO_D1_BLD6_PNL2_RNG1_ROC10         B        10      1     1     15      2      10      1291       32     2
FPix_BpO_D1_BLD6_PNL2_RNG1_ROC11         B        10      1     1     15      2      11      1291       32     3
FPix_BpO_D1_BLD6_PNL2_RNG1_ROC12         B        10      1     1     15      3      12      1291       32     4
FPix_BpO_D1_BLD6_PNL2_RNG1_ROC13         B        10      1     1     15      3      13      1291       32     5
FPix_BpO_D1_BLD6_PNL2_RNG1_ROC14         B        10      1     1     15      3      14      1291       32     6
FPix_BpO_D1_BLD6_PNL2_RNG1_ROC15         B        10      1     1     15      3      15      1291       32     7
FPix_BpO_D1_BLD7_PNL2_RNG1_ROC0         A        10      1     1     14      0      0      1291       7     0
FPix_BpO_D1_BLD7_PNL2_RNG1_ROC1         A        10      1     1     14      0      1      1291       7     1
FPix_BpO_D1_BLD7_PNL2_RNG1_ROC2         A        10      1     1     14      0      2      1291       7     2
FPix_BpO_D1_BLD7_PNL2_RNG1_ROC3         A        10      1     1     14      0      3      1291       7     3
FPix_BpO_D1_BLD7_PNL2_RNG1_ROC4         A        10      1     1     14      1      4      1291       7     4
FPix_BpO_D1_BLD7_PNL2_RNG1_ROC5         A        10      1     1     14      1      5      1291       7     5
FPix_BpO_D1_BLD7_PNL2_RNG1_ROC6         A        10      1     1     14      1      6      1291       7     6
FPix_BpO_D1_BLD7_PNL2_RNG1_ROC7         A        10      1     1     14      1      7      1291       7     7
FPix_BpO_D1_BLD7_PNL2_RNG1_ROC8         B        10      1     1     14      2      8      1291       8     0
FPix_BpO_D1_BLD7_PNL2_RNG1_ROC9         B        10      1     1     14      2      9      1291       8     1
FPix_BpO_D1_BLD7_PNL2_RNG1_ROC10         B        10      1     1     14      2      10      1291       8     2
FPix_BpO_D1_BLD7_PNL2_RNG1_ROC11         B        10      1     1     14      2      11      1291       8     3
FPix_BpO_D1_BLD7_PNL2_RNG1_ROC12         B        10      1     1     14      3      12      1291       8     4
FPix_BpO_D1_BLD7_PNL2_RNG1_ROC13         B        10      1     1     14      3      13      1291       8     5
FPix_BpO_D1_BLD7_PNL2_RNG1_ROC14         B        10      1     1     14      3      14      1291       8     6
FPix_BpO_D1_BLD7_PNL2_RNG1_ROC15         B        10      1     1     14      3      15      1291       8     7
FPix_BpO_D1_BLD8_PNL2_RNG1_ROC0         A        10      1     1     13      0      0      1290       31     0
FPix_BpO_D1_BLD8_PNL2_RNG1_ROC1         A        10      1     1     13      0      1      1290       31     1
FPix_BpO_D1_BLD8_PNL2_RNG1_ROC2         A        10      1     1     13      0      2      1290       31     2
FPix_BpO_D1_BLD8_PNL2_RNG1_ROC3         A        10      1     1     13      0      3      1290       31     3
FPix_BpO_D1_BLD8_PNL2_RNG1_ROC4         A        10      1     1     13      1      4      1290       31     4
FPix_BpO_D1_BLD8_PNL2_RNG1_ROC5         A        10      1     1     13      1      5      1290       31     5
FPix_BpO_D1_BLD8_PNL2_RNG1_ROC6         A        10      1     1     13      1      6      1290       31     6
FPix_BpO_D1_BLD8_PNL2_RNG1_ROC7         A        10      1     1     13      1      7      1290       31     7
FPix_BpO_D1_BLD8_PNL2_RNG1_ROC8         B        10      1     1     13      2      8      1290       32     0
FPix_BpO_D1_BLD8_PNL2_RNG1_ROC9         B        10      1     1     13      2      9      1290       32     1
FPix_BpO_D1_BLD8_PNL2_RNG1_ROC10         B        10      1     1     13      2      10      1290       32     2
FPix_BpO_D1_BLD8_PNL2_RNG1_ROC11         B        10      1     1     13      2      11      1290       32     3
FPix_BpO_D1_BLD8_PNL2_RNG1_ROC12         B        10      1     1     13      3      12      1290       32     4
FPix_BpO_D1_BLD8_PNL2_RNG1_ROC13         B        10      1     1     13      3      13      1290       32     5
FPix_BpO_D1_BLD8_PNL2_RNG1_ROC14         B        10      1     1     13      3      14      1290       32     6
FPix_BpO_D1_BLD8_PNL2_RNG1_ROC15         B        10      1     1     13      3      15      1290       32     7
FPix_BpO_D1_BLD9_PNL2_RNG1_ROC0         A        10      1     2     15      0      0      1292       27     0
FPix_BpO_D1_BLD9_PNL2_RNG1_ROC1         A        10      1     2     15      0      1      1292       27     1
FPix_BpO_D1_BLD9_PNL2_RNG1_ROC2         A        10      1     2     15      0      2      1292       27     2
FPix_BpO_D1_BLD9_PNL2_RNG1_ROC3         A        10      1     2     15      0      3      1292       27     3
FPix_BpO_D1_BLD9_PNL2_RNG1_ROC4         A        10      1     2     15      1      4      1292       27     4
FPix_BpO_D1_BLD9_PNL2_RNG1_ROC5         A        10      1     2     15      1      5      1292       27     5
FPix_BpO_D1_BLD9_PNL2_RNG1_ROC6         A        10      1     2     15      1      6      1292       27     6
FPix_BpO_D1_BLD9_PNL2_RNG1_ROC7         A        10      1     2     15      1      7      1292       27     7
FPix_BpO_D1_BLD9_PNL2_RNG1_ROC8         B        10      1     2     15      2      8      1292       28     0
