#name                              A/B   FEC       mfec      mfecch    hubid     port      rocid     FEDid     FEDch     roc# 
FPix_BpI_D1_BLD6_PNL2_RNG1_ROC12         B        9      1     1     15      3      12      1283       8     4
FPix_BpI_D1_BLD6_PNL2_RNG1_ROC13         B        9      1     1     15      3      13      1283       8     5
FPix_BpI_D1_BLD6_PNL2_RNG1_ROC14         B        9      1     1     15      3      14      1283       8     6
FPix_BpI_D1_BLD6_PNL2_RNG1_ROC15         B        9      1     1     15      3      15      1283       8     7
FPix_BpI_D1_BLD5_PNL2_RNG1_ROC0         A        9      1     1     14      0      0      1282       31     0
FPix_BpI_D1_BLD5_PNL2_RNG1_ROC1         A        9      1     1     14      0      1      1282       31     1
FPix_BpI_D1_BLD5_PNL2_RNG1_ROC2         A        9      1     1     14      0      2      1282       31     2
FPix_BpI_D1_BLD5_PNL2_RNG1_ROC3         A        9      1     1     14      0      3      1282       31     3
FPix_BpI_D1_BLD5_PNL2_RNG1_ROC4         A        9      1     1     14      1      4      1282       31     4
FPix_BpI_D1_BLD5_PNL2_RNG1_ROC5         A        9      1     1     14      1      5      1282       31     5
FPix_BpI_D1_BLD5_PNL2_RNG1_ROC6         A        9      1     1     14      1      6      1282       31     6
FPix_BpI_D1_BLD5_PNL2_RNG1_ROC7         A        9      1     1     14      1      7      1282       31     7
FPix_BpI_D1_BLD5_PNL2_RNG1_ROC8         B        9      1     1     14      2      8      1282       32     0
FPix_BpI_D1_BLD5_PNL2_RNG1_ROC9         B        9      1     1     14      2      9      1282       32     1
FPix_BpI_D1_BLD5_PNL2_RNG1_ROC10         B        9      1     1     14      2      10      1282       32     2
FPix_BpI_D1_BLD5_PNL2_RNG1_ROC11         B        9      1     1     14      2      11      1282       32     3
FPix_BpI_D1_BLD5_PNL2_RNG1_ROC12         B        9      1     1     14      3      12      1282       32     4
FPix_BpI_D1_BLD5_PNL2_RNG1_ROC13         B        9      1     1     14      3      13      1282       32     5
FPix_BpI_D1_BLD5_PNL2_RNG1_ROC14         B        9      1     1     14      3      14      1282       32     6
FPix_BpI_D1_BLD5_PNL2_RNG1_ROC15         B        9      1     1     14      3      15      1282       32     7
FPix_BpI_D1_BLD4_PNL2_RNG1_ROC0         A        9      1     1     13      0      0      1282       7     0
FPix_BpI_D1_BLD4_PNL2_RNG1_ROC1         A        9      1     1     13      0      1      1282       7     1
FPix_BpI_D1_BLD4_PNL2_RNG1_ROC2         A        9      1     1     13      0      2      1282       7     2
FPix_BpI_D1_BLD4_PNL2_RNG1_ROC3         A        9      1     1     13      0      3      1282       7     3
FPix_BpI_D1_BLD4_PNL2_RNG1_ROC4         A        9      1     1     13      1      4      1282       7     4
FPix_BpI_D1_BLD4_PNL2_RNG1_ROC5         A        9      1     1     13      1      5      1282       7     5
FPix_BpI_D1_BLD4_PNL2_RNG1_ROC6         A        9      1     1     13      1      6      1282       7     6
FPix_BpI_D1_BLD4_PNL2_RNG1_ROC7         A        9      1     1     13      1      7      1282       7     7
FPix_BpI_D1_BLD4_PNL2_RNG1_ROC8         B        9      1     1     13      2      8      1282       8     0
FPix_BpI_D1_BLD4_PNL2_RNG1_ROC9         B        9      1     1     13      2      9      1282       8     1
FPix_BpI_D1_BLD4_PNL2_RNG1_ROC10         B        9      1     1     13      2      10      1282       8     2
FPix_BpI_D1_BLD4_PNL2_RNG1_ROC11         B        9      1     1     13      2      11      1282       8     3
FPix_BpI_D1_BLD4_PNL2_RNG1_ROC12         B        9      1     1     13      3      12      1282       8     4
FPix_BpI_D1_BLD4_PNL2_RNG1_ROC13         B        9      1     1     13      3      13      1282       8     5
FPix_BpI_D1_BLD4_PNL2_RNG1_ROC14         B        9      1     1     13      3      14      1282       8     6
FPix_BpI_D1_BLD4_PNL2_RNG1_ROC15         B        9      1     1     13      3      15      1282       8     7
FPix_BpI_D1_BLD3_PNL2_RNG1_ROC0         A        9      1     2     15      0      0      1281       3     0
FPix_BpI_D1_BLD3_PNL2_RNG1_ROC1         A        9      1     2     15      0      1      1281       3     1
FPix_BpI_D1_BLD3_PNL2_RNG1_ROC2         A        9      1     2     15      0      2      1281       3     2
FPix_BpI_D1_BLD3_PNL2_RNG1_ROC3         A        9      1     2     15      0      3      1281       3     3
FPix_BpI_D1_BLD3_PNL2_RNG1_ROC4         A        9      1     2     15      1      4      1281       3     4
FPix_BpI_D1_BLD3_PNL2_RNG1_ROC5         A        9      1     2     15      1      5      1281       3     5
FPix_BpI_D1_BLD3_PNL2_RNG1_ROC6         A        9      1     2     15      1      6      1281       3     6
FPix_BpI_D1_BLD3_PNL2_RNG1_ROC7         A        9      1     2     15      1      7      1281       3     7
FPix_BpI_D1_BLD3_PNL2_RNG1_ROC8         B        9      1     2     15      2      8      1281       4     0
FPix_BpI_D1_BLD3_PNL2_RNG1_ROC9         B        9      1     2     15      2      9      1281       4     1
FPix_BpI_D1_BLD3_PNL2_RNG1_ROC10         B        9      1     2     15      2      10      1281       4     2
FPix_BpI_D1_BLD3_PNL2_RNG1_ROC11         B        9      1     2     15      2      11      1281       4     3
FPix_BpI_D1_BLD3_PNL2_RNG1_ROC12         B        9      1     2     15      3      12      1281       4     4
FPix_BpI_D1_BLD3_PNL2_RNG1_ROC13         B        9      1     2     15      3      13      1281       4     5
FPix_BpI_D1_BLD3_PNL2_RNG1_ROC14         B        9      1     2     15      3      14      1281       4     6
FPix_BpI_D1_BLD3_PNL2_RNG1_ROC15         B        9      1     2     15      3      15      1281       4     7
FPix_BpI_D1_BLD2_PNL2_RNG1_ROC0         A        9      1     2     14      0      0      1280       27     0
FPix_BpI_D1_BLD2_PNL2_RNG1_ROC1         A        9      1     2     14      0      1      1280       27     1
